,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,day_of_posting_date,month_of_posting_date,year_of_posting_date,day_of_create_date,month_of_create_date,year_of_create_date,day_of_due,month_of_due,year_of_due,cust_payment_terms_enc,name_customer_enc,clear_date,posting_date,due_in_date,baseline_create_date,Aging Bucket
36,200769623,2020.0,1930750455.0,14355.96,65,6,4,2020,6,4,2020,21,4,2020,34,2978,2020-05-06 13:09:19.000000000,2020-04-06,2020-04-21,2020-04-06,16-30
37,200769623,2020.0,1930738904.0,367.71,65,3,4,2020,3,4,2020,18,4,2020,34,2981,2020-05-05 18:49:42.500000000,2020-04-03,2020-04-18,2020-04-03,16-30
38,200769623,2020.0,1930862467.0,56284.77,65,6,5,2020,6,5,2020,21,5,2020,34,2982,2020-06-05 23:43:28.750000000,2020-05-06,2020-05-21,2020-05-06,16-30
39,200769623,2020.0,1930582162.0,50493.86,65,29,2,2020,29,2,2020,15,3,2020,34,2981,2020-03-30 09:05:08.625000000,2020-02-29,2020-03-15,2020-02-29,16-30
40,200769623,2020.0,1930802490.0,15489.43,65,21,4,2020,21,4,2020,6,5,2020,34,2980,2020-05-21 03:15:53.375000000,2020-04-21,2020-05-06,2020-04-21,16-30
41,140104423,2020.0,2960617050.0,93179.35199999998,65,27,2,2020,1,3,2020,11,3,2020,5,1865,2020-03-19 09:46:31.937500000,2020-02-27,2020-03-11,2020-03-01,0-15
42,200726979,2020.0,1930801417.0,360.33,65,19,4,2020,19,4,2020,4,5,2020,21,341,2020-05-12 15:55:37.875000000,2020-04-19,2020-05-04,2020-04-19,0-15
43,200743996,2020.0,1930660304.0,3826.03,65,16,3,2020,16,3,2020,20,5,2020,33,2601,2020-05-12 19:48:35.562500000,2020-03-16,2020-05-20,2020-03-16,0-15
44,200752302,2020.0,1930733767.0,96674.05,65,2,4,2020,2,4,2020,17,4,2020,21,1578,2020-04-19 08:54:56.625000000,2020-04-02,2020-04-17,2020-04-02,0-15
45,140105686,2020.0,2960633120.0,43230.299,65,6,5,2020,8,5,2020,18,5,2020,5,2694,2020-06-01 19:57:28.875000000,2020-05-06,2020-05-18,2020-05-08,0-15
46,200711029,2020.0,1930742932.0,14382.22,65,3,4,2020,3,4,2020,18,4,2020,21,3004,2020-05-04 06:16:14.875000000,2020-04-03,2020-04-18,2020-04-03,16-30
47,2001,2020.0,2960622220.0,17828.068999999996,65,20,3,2020,23,3,2020,27,4,2020,32,1511,2020-05-09 05:13:23.000000000,2020-03-20,2020-04-27,2020-03-23,0-15
48,200769623,2020.0,1930804924.0,35509.95,65,21,4,2020,21,4,2020,6,5,2020,34,2980,2020-05-21 02:01:54.125000000,2020-04-21,2020-05-06,2020-04-21,16-30
49,200769623,2020.0,1930746955.0,13512.61,65,5,4,2020,5,4,2020,20,4,2020,34,2974,2020-05-05 06:49:10.500000000,2020-04-05,2020-04-20,2020-04-05,16-30
50,200772670,2020.0,1930698156.0,24421.33,65,24,3,2020,24,3,2020,8,4,2020,46,194,2020-04-08 18:59:17.398437500,2020-03-24,2020-04-08,2020-03-24,0-15
51,200769623,2020.0,1930801200.0,11217.33,65,19,4,2020,19,4,2020,4,5,2020,34,2975,2020-05-19 02:40:20.625000000,2020-04-19,2020-05-04,2020-04-19,16-30
52,200769623,2020.0,1930776682.0,12554.13,65,13,4,2020,13,4,2020,28,4,2020,34,2981,2020-05-13 18:26:22.000000000,2020-04-13,2020-04-28,2020-04-13,16-30
53,200720238,2020.0,1930858727.0,126919.03,65,6,5,2020,6,5,2020,21,5,2020,21,2895,2020-06-09 04:36:20.500000000,2020-05-06,2020-05-21,2020-05-06,16-30
54,140106408,2020.0,2960631200.0,28537.684,65,25,4,2020,25,4,2020,5,5,2020,5,2968,2020-05-31 03:55:57.000000000,2020-04-25,2020-05-05,2020-04-25,16-30
55,200769623,2020.0,1930729999.0,24834.9,65,1,4,2020,1,4,2020,16,4,2020,34,2975,2020-04-28 21:04:10.000000000,2020-04-01,2020-04-16,2020-04-01,0-15
56,200769623,2020.0,1930653060.0,50202.83,65,15,3,2020,15,3,2020,30,3,2020,34,2983,2020-04-15 02:56:08.625000000,2020-03-15,2020-03-30,2020-03-15,16-30
57,200769623,2020.0,1930715979.0,8299.7,65,1,4,2020,1,4,2020,16,4,2020,34,2983,2020-04-29 11:21:56.625000000,2020-04-01,2020-04-16,2020-04-01,0-15
58,200799367,2020.0,1930673430.0,51602.13,65,24,3,2020,24,3,2020,8,4,2020,21,1800,2020-04-13 00:50:57.218750000,2020-03-24,2020-04-08,2020-03-24,0-15
59,200759878,2020.0,1930783249.0,18900.99,65,14,4,2020,14,4,2020,29,4,2020,34,2362,2020-05-03 00:04:04.937500000,2020-04-14,2020-04-29,2020-04-14,0-15
60,200794332,2020.0,1930638145.0,49467.7,65,14,3,2020,14,3,2020,29,3,2020,23,618,2020-03-29 21:17:11.960937500,2020-03-14,2020-03-29,2020-03-14,0-15
61,200515231,2020.0,1930768145.0,10187.66,65,9,4,2020,9,4,2020,24,4,2020,21,2885,2020-04-30 08:42:24.500000000,2020-04-09,2020-04-24,2020-04-09,0-15
62,200782669,2020.0,1930636977.0,237.4,65,13,3,2020,13,3,2020,28,3,2020,21,2677,2020-04-07 12:29:24.437500000,2020-03-13,2020-03-28,2020-03-13,0-15
63,200769623,2020.0,1930882979.0,11532.84,65,12,5,2020,12,5,2020,27,5,2020,34,2978,2020-06-11 13:17:19.000000000,2020-05-12,2020-05-27,2020-05-12,16-30
64,200769623,2020.0,1930692833.0,20017.92,65,24,3,2020,24,3,2020,8,4,2020,34,2973,2020-04-23 01:26:26.875000000,2020-03-24,2020-04-08,2020-03-24,16-30
65,200331749,2020.0,1930579080.0,5320.85,65,28,2,2020,28,2,2020,14,3,2020,21,2692,2020-03-23 11:23:06.375000000,2020-02-28,2020-03-14,2020-02-28,0-15
66,200772670,2020.0,1930819529.0,30900.83,65,23,4,2020,23,4,2020,8,5,2020,46,192,2020-05-11 19:52:22.875000000,2020-04-23,2020-05-08,2020-04-23,0-15
67,200772670,2020.0,1930736164.0,65843.26,65,2,4,2020,2,4,2020,17,4,2020,46,201,2020-04-17 17:33:56.406250000,2020-04-02,2020-04-17,2020-04-02,0-15
68,200706844,2020.0,1930599854.0,359.44,65,4,3,2020,4,3,2020,19,3,2020,21,3038,2020-04-11 02:35:10.875000000,2020-03-04,2020-03-19,2020-03-04,16-30
69,100043975,2020.0,1930740345.0,1427.36,65,3,4,2020,3,4,2020,18,4,2020,21,2895,2020-05-05 00:00:56.875000000,2020-04-03,2020-04-18,2020-04-03,16-30
70,200762301,2020.0,1930592552.0,99091.71,65,4,3,2020,4,3,2020,19,3,2020,26,451,2020-03-20 01:27:20.343750000,2020-03-04,2020-03-19,2020-03-04,0-15
71,200148860,2020.0,1930732920.0,6543.44,65,3,4,2020,3,4,2020,7,6,2020,33,802,2020-06-04 15:09:02.984375000,2020-04-03,2020-06-07,2020-04-03,0-15
72,100027744,2020.0,2960635652.0,4924.5,65,19,5,2020,19,5,2020,19,5,2020,8,2020,2020-05-27 21:54:59.687500000,2020-05-19,2020-05-19,2020-05-19,0-15
73,100031704,2020.0,1930585468.0,106394.18,65,1,3,2020,1,3,2020,16,3,2020,21,743,2020-03-17 14:39:57.078125000,2020-03-01,2020-03-16,2020-03-01,0-15
74,200799420,2020.0,1930703225.0,801.1,65,25,3,2020,25,3,2020,9,4,2020,21,2895,2020-04-29 11:19:44.000000000,2020-03-25,2020-04-09,2020-03-25,16-30
75,200974851,2020.0,1930706997.0,3566.69,65,26,3,2020,26,3,2020,10,4,2020,21,2293,2020-04-13 19:28:00.312500000,2020-03-26,2020-04-10,2020-03-26,0-15
76,200769623,2020.0,1930830709.0,8885.57,65,28,4,2020,28,4,2020,13,5,2020,34,2979,2020-05-28 02:06:23.125000000,2020-04-28,2020-05-13,2020-04-28,16-30
77,200793568,2020.0,1930630388.0,15893.27,65,10,3,2020,10,3,2020,25,3,2020,21,2640,2020-03-29 19:12:53.875000000,2020-03-10,2020-03-25,2020-03-10,0-15
78,200759878,2020.0,1930609945.0,70180.8,65,6,3,2020,6,3,2020,21,3,2020,34,2365,2020-03-25 05:29:55.625000000,2020-03-06,2020-03-21,2020-03-06,0-15
79,200712187,2020.0,1930806222.0,119384.36,65,20,4,2020,20,4,2020,5,5,2020,21,2580,2020-05-08 17:31:14.500000000,2020-04-20,2020-05-05,2020-04-20,0-15
80,100047532,2020.0,1930592834.0,11852.54,65,4,3,2020,4,3,2020,19,3,2020,21,2895,2020-04-06 18:36:22.875000000,2020-03-04,2020-03-19,2020-03-04,16-30
81,200794332,2020.0,1930562584.0,11225.42,65,28,2,2020,28,2,2020,19,3,2020,18,617,2020-03-18 18:48:45.740234375,2020-02-28,2020-03-19,2020-02-28,0-15
82,200148860,2020.0,1930699340.0,5456.75,65,25,3,2020,25,3,2020,29,5,2020,33,802,2020-05-28 17:50:04.031250000,2020-03-25,2020-05-29,2020-03-25,0-15
83,200794332,2020.0,1930862420.0,81500.86,65,8,5,2020,8,5,2020,23,5,2020,23,622,2020-05-24 05:51:31.859375000,2020-05-08,2020-05-23,2020-05-08,0-15
84,200555117,2020.0,1930709963.0,749.14,65,27,3,2020,27,3,2020,11,4,2020,21,2895,2020-05-01 22:32:37.375000000,2020-03-27,2020-04-11,2020-03-27,16-30
85,200769623,2020.0,1930878284.0,2219.89,65,9,5,2020,9,5,2020,24,5,2020,34,2979,2020-06-07 20:26:28.625000000,2020-05-09,2020-05-24,2020-05-09,0-15
86,200772670,2020.0,1930683241.0,15489.78,65,21,3,2020,21,3,2020,5,4,2020,46,194,2020-04-05 18:51:56.929687500,2020-03-21,2020-04-05,2020-03-21,0-15
87,200707822,2020.0,1930857983.0,126107.91,65,4,5,2020,4,5,2020,19,5,2020,21,2197,2020-05-23 16:05:42.218750000,2020-05-04,2020-05-19,2020-05-04,0-15
88,140104392,2020.0,2960619205.0,2528.673,65,6,3,2020,10,3,2020,20,3,2020,5,2895,2020-04-13 22:38:29.000000000,2020-03-06,2020-03-20,2020-03-10,16-30
89,200769623,2020.0,1930831780.0,11545.38,65,28,4,2020,28,4,2020,13,5,2020,34,2976,2020-05-28 01:19:17.125000000,2020-04-28,2020-05-13,2020-04-28,16-30
90,200759878,2020.0,1930717567.0,47646.57,65,31,3,2020,31,3,2020,15,4,2020,34,2368,2020-04-18 15:57:58.000000000,2020-03-31,2020-04-15,2020-03-31,0-15
91,200705742,2020.0,1930581678.0,5932.51,65,28,2,2020,28,2,2020,14,3,2020,21,836,2020-03-08 16:30:51.875000000,2020-02-28,2020-03-14,2020-02-28,0-15
92,200793568,2020.0,1930690537.0,1635.76,65,23,3,2020,23,3,2020,7,4,2020,21,2642,2020-04-14 18:52:07.125000000,2020-03-23,2020-04-07,2020-03-23,0-15
93,200726979,2020.0,1930646128.0,1286.3,65,12,3,2020,12,3,2020,27,3,2020,21,333,2020-03-27 20:40:45.093750000,2020-03-12,2020-03-27,2020-03-12,0-15
94,200704858,2020.0,1930762384.0,99568.42,65,9,4,2020,9,4,2020,24,4,2020,21,2946,2020-05-12 04:54:14.750000000,2020-04-09,2020-04-24,2020-04-09,16-30
95,200780383,2020.0,1930665025.0,3612.63,65,18,3,2020,18,3,2020,2,4,2020,21,1838,2020-04-07 08:08:51.093750000,2020-03-18,2020-04-02,2020-03-18,0-15
96,200762301,2020.0,1930778021.0,102276.04,65,12,4,2020,12,4,2020,27,4,2020,26,446,2020-04-26 23:08:14.648437500,2020-04-12,2020-04-27,2020-04-12,0-15
97,140106271,2020.0,2960626604.0,8615.453,65,3,4,2020,7,4,2020,17,4,2020,5,1657,2020-04-25 21:53:28.312500000,2020-04-03,2020-04-17,2020-04-07,0-15
98,140104423,2020.0,2960628851.0,45059.545999999995,65,17,4,2020,21,4,2020,1,5,2020,5,1868,2020-05-12 16:21:37.812500000,2020-04-17,2020-05-01,2020-04-21,0-15
99,200741174,2020.0,1930657267.0,5767.83,65,16,3,2020,16,3,2020,31,3,2020,21,1673,2020-04-05 00:07:50.093750000,2020-03-16,2020-03-31,2020-03-16,0-15
100,100030194,2020.0,2960622411.0,9851.667,65,18,3,2020,20,3,2020,30,3,2020,5,116,2020-04-10 12:15:38.312500000,2020-03-18,2020-03-30,2020-03-20,0-15
101,200769623,2020.0,1930720012.0,42379.83,65,30,3,2020,30,3,2020,14,4,2020,34,2982,2020-04-29 15:03:22.375000000,2020-03-30,2020-04-14,2020-03-30,16-30
102,200592182,2020.0,1930822583.0,1761.84,65,24,4,2020,16,4,2020,9,5,2020,38,731,2020-05-05 09:12:30.875000000,2020-04-24,2020-05-09,2020-04-16,0-15
103,200743996,2020.0,1930686889.0,94612.03,65,22,3,2020,22,3,2020,6,4,2020,21,2596,2020-04-09 18:02:48.656250000,2020-03-22,2020-04-06,2020-03-22,0-15
104,200769623,2020.0,1930787980.0,22226.35,65,15,4,2020,15,4,2020,30,4,2020,34,2979,2020-05-15 12:48:42.625000000,2020-04-15,2020-04-30,2020-04-15,16-30
105,200749782,2020.0,1930822131.0,88502.01,65,25,4,2020,25,4,2020,10,5,2020,21,1548,2020-05-14 00:41:02.687500000,2020-04-25,2020-05-10,2020-04-25,0-15
106,200744019,2020.0,1930641073.0,1982.06,65,13,3,2020,13,3,2020,17,5,2020,33,2770,2020-05-22 13:39:33.125000000,2020-03-13,2020-05-17,2020-03-13,0-15
107,200769623,2020.0,1930804577.0,2326.08,65,21,4,2020,21,4,2020,6,5,2020,34,2978,2020-05-21 04:40:05.500000000,2020-04-21,2020-05-06,2020-04-21,16-30
108,200705742,2020.0,1930592413.0,9822.38,65,2,3,2020,2,3,2020,17,3,2020,21,841,2020-03-13 01:23:43.906250000,2020-03-02,2020-03-17,2020-03-02,0-15
109,200744019,2020.0,1930857489.0,29592.42,65,5,5,2020,5,5,2020,20,5,2020,21,2776,2020-05-26 07:08:59.250000000,2020-05-05,2020-05-20,2020-05-05,0-15
110,200772670,2020.0,1930739252.0,47903.76,65,3,4,2020,3,4,2020,18,4,2020,46,192,2020-04-19 12:21:12.570312500,2020-04-03,2020-04-18,2020-04-03,0-15
111,200769623,2020.0,1930692953.0,1898.9,65,24,3,2020,24,3,2020,8,4,2020,34,2977,2020-04-23 01:34:31.500000000,2020-03-24,2020-04-08,2020-03-24,16-30
112,200900909,2020.0,1930741081.0,7524.17,65,3,4,2020,3,4,2020,18,4,2020,21,2742,2020-04-20 14:15:40.093750000,2020-04-03,2020-04-18,2020-04-03,0-15
113,200424504,2020.0,1930830032.0,2428.04,65,28,4,2020,15,4,2020,15,4,2020,65,2895,2020-04-24 06:03:55.875000000,2020-04-28,2020-04-15,2020-04-15,0-15
114,100031704,2020.0,1930794735.0,1176.59,65,16,4,2020,16,4,2020,20,6,2020,33,750,2020-06-19 07:27:19.828125000,2020-04-16,2020-06-20,2020-04-16,0-15
115,200764795,2020.0,1930637455.0,10978.51,65,18,3,2020,18,3,2020,19,4,2020,14,2709,2020-04-24 09:12:41.000000000,2020-03-18,2020-04-19,2020-03-18,0-15
116,200337148,2020.0,1930587342.0,45127.79,65,2,3,2020,2,3,2020,17,3,2020,21,556,2020-03-18 03:32:04.210937500,2020-03-02,2020-03-17,2020-03-02,0-15
117,200416837,2020.0,1930599382.0,398.16,65,4,3,2020,1,3,2020,24,3,2020,38,721,2020-03-21 05:44:15.484375000,2020-03-04,2020-03-24,2020-03-01,0-15
118,200769623,2020.0,1930623646.0,58726.21,65,9,3,2020,9,3,2020,24,3,2020,34,2980,2020-04-07 20:06:45.000000000,2020-03-09,2020-03-24,2020-03-09,0-15
119,200726979,2020.0,1930645815.0,588.49,65,12,3,2020,12,3,2020,27,3,2020,21,334,2020-03-28 06:43:26.273437500,2020-03-12,2020-03-27,2020-03-12,0-15
120,200721222,2020.0,1930800642.0,25685.07,65,20,4,2020,20,4,2020,5,5,2020,21,1094,2020-05-08 07:15:08.437500000,2020-04-20,2020-05-05,2020-04-20,0-15
121,200772595,2020.0,1930729101.0,10020.14,65,2,4,2020,2,4,2020,17,4,2020,21,2377,2020-04-18 22:21:06.843750000,2020-04-02,2020-04-17,2020-04-02,0-15
122,200820380,2020.0,1930716191.0,48022.97,65,30,3,2020,30,3,2020,14,4,2020,21,2520,2020-04-18 05:58:08.343750000,2020-03-30,2020-04-14,2020-03-30,0-15
123,200793568,2020.0,1930779652.0,36623.03,65,14,4,2020,14,4,2020,29,4,2020,21,2637,2020-05-04 09:51:48.468750000,2020-04-14,2020-04-29,2020-04-14,0-15
124,200706844,2020.0,1930732708.0,22644.53,65,1,4,2020,1,4,2020,16,4,2020,21,3036,2020-04-30 02:02:08.375000000,2020-04-01,2020-04-16,2020-04-01,0-15
125,100043975,2020.0,1930586661.0,7212.0,65,2,3,2020,2,3,2020,17,3,2020,21,2895,2020-04-03 07:30:24.500000000,2020-03-02,2020-03-17,2020-03-02,16-30
126,200769623,2020.0,1930692548.0,15797.23,65,25,3,2020,25,3,2020,9,4,2020,34,2980,2020-04-24 03:15:53.375000000,2020-03-25,2020-04-09,2020-03-25,16-30
127,200762301,2020.0,1930630515.0,2018.45,65,11,3,2020,11,3,2020,26,3,2020,26,451,2020-03-27 03:48:54.796875000,2020-03-11,2020-03-26,2020-03-11,0-15
128,200769623,2020.0,1930593446.0,14706.98,65,4,3,2020,4,3,2020,19,3,2020,34,2978,2020-04-03 13:09:19.000000000,2020-03-04,2020-03-19,2020-03-04,16-30
129,200729290,2020.0,1930599215.0,115494.14,65,4,3,2020,4,3,2020,19,3,2020,21,1569,2020-03-23 21:45:55.437500000,2020-03-04,2020-03-19,2020-03-04,0-15
130,200769623,2020.0,1930827122.0,1898.9,65,27,4,2020,27,4,2020,12,5,2020,34,2983,2020-05-27 17:30:28.500000000,2020-04-27,2020-05-12,2020-04-27,16-30
131,200769623,2020.0,1930750644.0,37684.36,65,6,4,2020,6,4,2020,21,4,2020,34,2983,2020-05-07 01:50:51.500000000,2020-04-06,2020-04-21,2020-04-06,16-30
132,200705372,2020.0,1930637990.0,19961.05,65,13,3,2020,13,3,2020,28,3,2020,21,996,2020-03-31 06:04:23.281250000,2020-03-13,2020-03-28,2020-03-13,0-15
133,200769623,2020.0,1930675431.0,11826.09,65,22,3,2020,22,3,2020,6,4,2020,34,2980,2020-04-21 02:26:17.625000000,2020-03-22,2020-04-06,2020-03-22,16-30
134,200742791,2020.0,1930603823.0,24843.48,65,10,3,2020,10,3,2020,25,3,2020,21,2222,2020-03-29 09:29:03.687500000,2020-03-10,2020-03-25,2020-03-10,0-15
135,200743996,2020.0,1930718352.0,32224.05,65,30,3,2020,30,3,2020,14,4,2020,21,2598,2020-04-13 18:23:38.742187500,2020-03-30,2020-04-14,2020-03-30,0-15
136,200769623,2020.0,1930752522.0,9937.06,65,6,4,2020,6,4,2020,21,4,2020,34,2983,2020-05-07 02:15:15.000000000,2020-04-06,2020-04-21,2020-04-06,16-30
137,200759878,2020.0,1930752430.0,12417.47,65,8,4,2020,8,4,2020,23,4,2020,34,2364,2020-04-26 15:43:20.250000000,2020-04-08,2020-04-23,2020-04-08,0-15
138,200762301,2020.0,1930584581.0,4301.57,65,2,3,2020,2,3,2020,17,3,2020,26,455,2020-03-17 09:12:25.812500000,2020-03-02,2020-03-17,2020-03-02,0-15
139,200769623,2020.0,1930885637.0,22549.83,65,12,5,2020,12,5,2020,27,5,2020,34,2973,2020-06-11 09:59:00.250000000,2020-05-12,2020-05-27,2020-05-12,16-30
140,100043936,2020.0,1930627707.0,18145.19,65,10,3,2020,10,3,2020,20,3,2020,11,2035,2020-03-21 11:59:35.656250000,2020-03-10,2020-03-20,2020-03-10,0-15
141,200744019,2020.0,1930748869.0,97776.0,65,5,4,2020,5,4,2020,20,4,2020,21,2769,2020-04-26 09:30:53.562500000,2020-04-05,2020-04-20,2020-04-05,0-15
142,200794332,2020.0,1930720706.0,31599.18,65,2,4,2020,2,4,2020,17,4,2020,23,615,2020-04-18 08:07:42.242187500,2020-04-02,2020-04-17,2020-04-02,0-15
143,200740393,2020.0,1930585380.0,52645.42,65,3,3,2020,3,3,2020,18,3,2020,21,2895,2020-04-03 10:05:59.875000000,2020-03-03,2020-03-18,2020-03-03,16-30
144,200769623,2020.0,1930671465.0,21113.92,65,20,3,2020,20,3,2020,4,4,2020,34,2981,2020-04-19 10:46:23.125000000,2020-03-20,2020-04-04,2020-03-20,16-30
145,200762301,2020.0,1930577119.0,137768.6,65,27,2,2020,27,2,2020,13,3,2020,26,447,2020-03-12 17:03:08.412109375,2020-02-27,2020-03-13,2020-02-27,0-15
146,200759878,2020.0,1930748365.0,13548.66,65,5,4,2020,5,4,2020,20,4,2020,34,2366,2020-04-24 02:26:07.187500000,2020-04-05,2020-04-20,2020-04-05,0-15
